step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
9300,0.06698835,0.0,0.0,0.06387998,0.06387998,0.0,0.03203261,0.04435193,0.05466316,0.0,0.02856774,0.04339636,0.04621118,0.06698835
9400,0.06540014,0.0,0.0,0.05723318,0.05723318,0.0,0.0318293,0.04291138,0.05483036,0.0,0.02784752,0.04119271,0.04550104,0.06540014
9500,0.06775486,0.0,0.0,0.05992483,0.05992483,0.0,0.0325124,0.04658093,0.05443516,0.0,0.02924998,0.04517401,0.04643833,0.06775486
9600,0.06788085,0.0,0.0,0.06111472,0.06111472,0.0,0.03230666,0.04585038,0.05459115,0.0,0.02946271,0.04504113,0.04762793,0.06788085
9700,0.06809587,0.0,0.0,0.06074942,0.06074942,0.0,0.03287655,0.0468705,0.05443672,0.0,0.02914438,0.04527434,0.04618265,0.06809587
9800,0.0674031,0.0,0.0,0.06473739,0.06473739,0.0,0.03184794,0.04602931,0.05261547,0.0,0.02908142,0.04420808,0.04605832,0.0674031
9900,0.0622118,0.0,0.0,0.05644233,0.05644233,0.0,0.02952273,0.04337055,0.04932092,0.0,0.02704484,0.04243374,0.04341884,0.0622118
10000,0.06519302,0.0,0.0,0.05491237,0.05491237,0.0,0.03143648,0.04546137,0.05227863,0.0,0.02826531,0.04405824,0.04494211,0.06519302
10100,0.0650265,0.0,0.0,0.06132811,0.06132811,0.0,0.03089972,0.04336195,0.0523539,0.0,0.02799397,0.04238241,0.04538544,0.0650265
10200,0.06325307,0.0,0.0,0.05703809,0.05703809,0.0,0.03022914,0.04014499,0.05303425,0.0,0.02732012,0.03895643,0.04596709,0.06325307
10300,0.06432939,0.0,0.0,0.05859883,0.05859883,0.0,0.03083281,0.04260809,0.05324726,0.0,0.02763669,0.04145232,0.04587843,0.06432939
10400,0.06213235,0.0,0.0,0.05977296,0.05977296,0.0,0.02944512,0.04186108,0.0500825,0.0,0.02670993,0.04083517,0.04352509,0.06213235
